# -n 1000, -i 5 -y -w 1048576 -d /path -u (unique or shared)
client.num, dcreate, dstat, dremoval, fcreate, fstat, fread, fremoval, mode
1, 2218, 6717263, 2356, 19, 585469, 266881, 2077, shared
2, 2915, 1340461, 3006, 39, 11187, 515460, 1819, shared
3, 3177, 1985626, 2750, 58, 17005, 772431,1493, shared
4, 2966, 2616125, 2417, 77, 22505, 1028835, 1393, shared
5, 2749, 3229866,2161,95,27140,1288968,1152, shared
6, 2630, 2456880,1959,102,23036,1008246,1046, shared
7, 2439,2919082,1668,116,25649,1163929,940,shared
8, 2250, 3304533,1629,131,25452,1343628, 796, shared
1, 2041,408006,2576,17, 384622,177214,2435, unique
2, 3266,782154,3664,35,736941,354158,3202,unique
3, 3554,1204798,3554,51,1130337,512208,3271, unique 
4, 3862,1552870,3176,68,1505358,696872,3222,unique
5, 3899, 1907715,3294,83,1879000,872904,3334, unique
6, 3945,2305195,3576,100,2254800,1037167,2936, unique
7, 3847,2660636,3528,116,2645533,1212526,2996, unique
8, 3996,2069938,3388,132,2965220,1379988,3154, unique


