mode,	 qd,	reqsize,	 dev.num,	 bw
write, 	 1, 	 32768, 	 1, 	 799.68
write, 	 1, 	 32768, 	 2, 	 1492.972
write, 	 1, 	 32768, 	 3, 	 2256.226
write, 	 1, 	 32768, 	 4, 	 3010.484
write, 	 1, 	 32768, 	 5, 	 3291.011
write, 	 1, 	 32768, 	 6, 	 3174.51
write, 	 1, 	 32768, 	 7, 	 3080.872
write, 	 1, 	 32768, 	 8, 	 3045.731
write, 	 1, 	 32768, 	 9, 	 3065.911
write, 	 1, 	 32768, 	 10, 	 3086.57
write, 	 1, 	 32768, 	 11, 	 3112.329
write, 	  2, 	 32768, 	 1, 	 815.868
write, 	  2, 	 32768, 	 2, 	 1501.453
write, 	  2, 	 32768, 	 3, 	 2259.579
write, 	  2, 	 32768, 	 4, 	 3026.864
write, 	  2, 	 32768, 	 5, 	 3313.359
write, 	  2, 	 32768, 	 6, 	 3210.951
write, 	  2, 	 32768, 	 7, 	 3072.234
write, 	  2, 	 32768, 	 8, 	 3046.768
write, 	  2, 	 32768, 	 9, 	 3066.145
write, 	  2, 	 32768, 	 10, 	 3090.67
write, 	  2, 	 32768, 	 11, 	 3109.272
write, 	  4, 	 32768, 	 1, 	 806.764
write, 	  4, 	 32768, 	 2, 	 1513.289
write, 	  4, 	 32768, 	 3, 	 2260.209
write, 	  4, 	 32768, 	 4, 	 3064.975
write, 	  4, 	 32768, 	 5, 	 3312.162
write, 	  4, 	 32768, 	 6, 	 3208.836
write, 	  4, 	 32768, 	 7, 	 3073.071
write, 	  4, 	 32768, 	 8, 	 3048.101
write, 	  4, 	 32768, 	 9, 	 3069.531
write, 	  4, 	 32768, 	 10, 	 3086.056
write, 	  4, 	 32768, 	 11, 	 3110.883
write, 	  8, 	 32768, 	 1, 	 796.072
write, 	  8, 	 32768, 	 2, 	 1516.0
write, 	  8, 	 32768, 	 3, 	 2298.478
write, 	  8, 	 32768, 	 4, 	 3050.163
write, 	  8, 	 32768, 	 5, 	 3311.59
write, 	  8, 	 32768, 	 6, 	 3208.511
write, 	  8, 	 32768, 	 7, 	 3072.879
write, 	  8, 	 32768, 	 8, 	 3051.477
write, 	  8, 	 32768, 	 9, 	 3068.966
write, 	  8, 	 32768, 	 10, 	 3086.551
write, 	  8, 	 32768, 	 11, 	 3114.163
write, 	  16, 	 32768, 	 1, 	 790.508
write, 	  16, 	 32768, 	 2, 	 1526.638
write, 	  16, 	 32768, 	 3, 	 2306.139
write, 	  16, 	 32768, 	 4, 	 3049.457
write, 	  16, 	 32768, 	 5, 	 3312.09
write, 	  16, 	 32768, 	 6, 	 3214.232
write, 	  16, 	 32768, 	 7, 	 3076.512
write, 	  16, 	 32768, 	 8, 	 3053.893
write, 	  16, 	 32768, 	 9, 	 3076.818
write, 	  16, 	 32768, 	 10, 	 3092.802
write, 	  16, 	 32768, 	 11, 	 3115.339
write, 	  32, 	 32768, 	 1, 	 797.497
write, 	  32, 	 32768, 	 2, 	 1534.072
write, 	  32, 	 32768, 	 3, 	 2282.941
write, 	  32, 	 32768, 	 4, 	 3069.566
write, 	  32, 	 32768, 	 5, 	 3314.474
write, 	  32, 	 32768, 	 6, 	 3213.022
write, 	  32, 	 32768, 	 7, 	 3075.867
write, 	  32, 	 32768, 	 8, 	 3068.144
write, 	  32, 	 32768, 	 9, 	 3083.907
write, 	  32, 	 32768, 	 10, 	 3104.413
write, 	  32, 	 32768, 	 11, 	 3120.733
